ZipCode,City,SizeRank,2015,2015Weight,2016,2016Weight,2017,2017Weight,2018,2018Weight,2019,2019Weight
28269,Charlotte,1,161155,1,172662,2,189549,3,207802,4,222079,5
28277,Charlotte,2,300910,1,318152,2,339128,3,357253,4,366603,5
28027,Concord,3,196663,1,205240,2,222421,3,237999,4,250122,5
27587,Wake Forest,4,285567,1,295697,2,307897,3,319676,4,330524,5
28078,Huntersville,5,261813,1,276244,2,293663,3,309628,4,318790,5
27610,Raleigh,6,142848,1,151948,2,164090,3,178758,4,194221,5
27410,Greensboro,7,198541,1,201595,2,211725,3,223023,4,233419,5
27406,Greensboro,8,103484,1,105545,2,113023,3,120061,4,129237,5
28314,Fayetteville,9,110877,1,110304,2,113515,3,114860,4,120512,5
27834,Greenville,10,95511,1,95936,2,98044,3,103136,4,108946,5
27858,Greenville,11,139866,1,142282,2,147646,3,152885,4,159554,5
27703,Durham,12,173399,1,183973,2,197205,3,215732,4,232890,5
27713,Durham,13,208194,1,220392,2,236354,3,255579,4,272537,5
27284,Kernersville,14,155388,1,159244,2,166300,3,175758,4,185538,5
27707,Durham,15,193897,1,208107,2,225378,3,246651,4,264680,5
28205,Charlotte,16,188689,1,210210,2,237683,3,269870,4,281027,5
28601,Hickory,17,136643,1,141669,2,148955,3,159523,4,172158,5
27519,Cary,18,374497,1,396155,2,414984,3,427560,4,438532,5
27705,Durham,19,226342,1,238797,2,257149,3,278251,4,297475,5
28216,Charlotte,20,122057,1,135649,2,152232,3,169632,4,185619,5
28215,Charlotte,21,130089,1,142416,2,159952,3,180530,4,196054,5
28227,Mint Hill,22,156298,1,170064,2,187960,3,207850,4,221816,5
28655,Morganton,23,116913,1,123644,2,130119,3,138602,4,146558,5
28210,Charlotte,24,267787,1,289475,2,317221,3,340235,4,354356,5
27265,High Point,25,149857,1,152519,2,160027,3,168258,4,177691,5
27407,Greensboro,26,116490,1,118384,2,125877,3,134114,4,142636,5
28025,Concord,27,149470,1,156517,2,171879,3,185598,4,198781,5
27603,Raleigh,28,200193,1,211227,2,226346,3,240154,4,254062,5
27529,Garner,29,182467,1,193224,2,206238,3,219880,4,235245,5
27106,Winston-Salem,30,160938,1,163521,2,171829,3,182350,4,192142,5
28540,Jacksonville,31,126474,1,124659,2,127362,3,134418,4,146017,5
28546,Jacksonville,32,132477,1,129631,2,131180,3,139469,4,152242,5
27526,Fuquay Varina,33,220910,1,233013,2,249100,3,261580,4,272681,5
27606,Raleigh,34,217786,1,228688,2,245679,3,262378,4,279067,5
28645,Lenoir,35,96246,1,100063,2,104570,3,110805,4,116784,5
27405,Greensboro,36,88445,1,89535,2,95768,3,104083,4,114485,5
27616,Raleigh,37,180642,1,191353,2,204291,3,217369,4,230700,5
28173,Waxhaw,38,345320,1,366685,2,379930,3,393716,4,407647,5
27613,Raleigh,39,310723,1,324983,2,342628,3,358144,4,372744,5
27215,Burlington,40,139565,1,141022,2,149241,3,158483,4,166246,5
28412,Wilmington,41,189167,1,196823,2,209356,3,223976,4,231610,5
28806,Asheville,42,198067,1,213821,2,237742,3,255431,4,266350,5
28117,Mooresville,43,351843,1,362499,2,378469,3,380290,4,390660,5
28262,Charlotte,44,149057,1,160311,2,176319,3,194398,4,209316,5
27360,Thomasville,45,104038,1,109141,2,115397,3,120725,4,131225,5
27513,Cary,46,283520,1,300757,2,320871,3,336522,4,349554,5
27615,Raleigh,47,283678,1,294581,2,312551,3,326519,4,340766,5
27612,Raleigh,48,295215,1,307972,2,328878,3,345663,4,360586,5
28110,Monroe,49,165516,1,176989,2,189896,3,207391,4,221466,5
27604,Raleigh,50,162851,1,171979,2,185171,3,199383,4,215253,5
27107,Winston-Salem,51,109635,1,113483,2,119471,3,126840,4,136298,5
28403,Wilmington,52,179038,1,187852,2,200161,3,215047,4,225613,5
28562,New Bern,53,161500,1,164468,2,171251,3,178497,4,188529,5
27609,Raleigh,54,265783,1,283537,2,308102,3,326654,4,343918,5
28306,Fayetteville,55,146255,1,145895,2,150222,3,153065,4,159349,5
28226,Charlotte,56,307220,1,328794,2,353236,3,377273,4,391407,5
28213,Charlotte,57,133889,1,145428,2,160929,3,179968,4,195401,5
